timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605981266229,3866,Launch_Homepage,200,OK,Thread Group 1-1,text,true,,4683,569,1,1,https://demo.opencart.com/,3616,0,2634
1605981270151,1360,Launch_Homepage1,200,OK,Thread Group 1-1,text,true,,4301,704,1,1,https://demo.opencart.com/,1152,0,248
1605981265056,5226,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,8984,1273,1,1,null,4768,1234,2882
1605981274518,1597,Register,200,OK,Thread Group 1-1,text,true,,4756,748,2,2,https://demo.opencart.com/index.php?route=account/register,1394,0,163
1605981275053,1389,Launch_Homepage,200,OK,Thread Group 1-2,text,true,,4624,569,2,2,https://demo.opencart.com/,1175,0,277
1605981276445,1079,Launch_Homepage1,200,OK,Thread Group 1-2,text,true,,4265,704,2,2,https://demo.opencart.com/,874,0,0
1605981275052,2468,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,8889,1273,2,2,null,2049,5,277
1605981279127,992,ClickOnRegister,200,OK,Thread Group 1-1,text,true,,547,715,2,2,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,972,0,160
1605981271518,2589,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,5303,1463,2,2,null,2366,6012,323
1605981280527,1237,Register,200,OK,Thread Group 1-2,text,true,,4787,748,2,2,https://demo.opencart.com/index.php?route=account/register,1034,0,167
1605981283110,1346,Register_form,200,OK,Thread Group 1-1,text,true,,4802,1881,2,2,https://demo.opencart.com/index.php?route=account/register,1168,0,200
1605981284460,1085,Register_Success,200,OK,Thread Group 1-1,text,true,,3412,807,3,3,https://demo.opencart.com/index.php?route=account%2Fsuccess,876,0,0
1605981280120,2431,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,8214,2688,3,3,null,2044,2997,200
1605981284760,1043,ClickOnRegister,200,OK,Thread Group 1-2,text,true,,547,715,3,3,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,1009,0,169
1605981277526,2280,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,5334,1463,3,3,null,2043,5999,336
1605981285000,1353,Launch_Homepage,200,OK,Thread Group 1-3,text,true,,4587,569,3,3,https://demo.opencart.com/,1140,0,245
1605981286362,1104,Launch_Homepage1,200,OK,Thread Group 1-3,text,true,,4253,704,3,3,https://demo.opencart.com/,898,0,0
1605981284998,2457,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,8840,1273,3,3,null,2038,14,245
1605981285550,2095,Navigating_Account_Page,200,OK,Thread Group 1-1,text,true,,4046,1556,3,3,https://demo.opencart.com/index.php?route=account/login,1013,0,166
1605981285550,1013,Navigating_Account_Page-0,302,Found,Thread Group 1-1,text,true,,562,780,3,3,https://demo.opencart.com/index.php?route=account%2Faccount,1013,0,166
1605981286567,1078,Navigating_Account_Page-1,200,OK,Thread Group 1-1,text,true,,3484,776,3,3,https://demo.opencart.com/index.php?route=account/login,868,0,0
1605981285549,2095,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4046,1556,3,3,null,1013,3,166
1605981287649,1230,Logout_1,200,OK,Thread Group 1-1,text,true,,3358,779,3,3,https://demo.opencart.com/index.php?route=account%2Flogout,1028,0,161
1605981288884,1074,Logout_2,200,OK,Thread Group 1-1,text,true,,3355,779,3,3,https://demo.opencart.com/index.php?route=account%2Flogout,867,0,0
1605981287648,2304,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,6713,1558,3,3,null,1895,7,161
1605981288825,1316,Register_form,200,OK,Thread Group 1-2,text,true,,4830,1914,3,3,https://demo.opencart.com/index.php?route=account/register,1102,0,169
1605981290147,1093,Register_Success,200,OK,Thread Group 1-2,text,true,,3368,807,3,3,https://demo.opencart.com/index.php?route=account%2Fsuccess,872,0,0
1605981285808,2409,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,8198,2721,3,3,null,1974,3026,169
1605981289962,1471,Launch_Homepage,200,OK,Thread Group 1-1,text,true,,4309,698,3,3,https://demo.opencart.com/,1265,0,276
1605981290460,1265,Register,200,OK,Thread Group 1-3,text,true,,4782,748,3,3,https://demo.opencart.com/index.php?route=account/register,1056,0,165
1605981291434,1156,Launch_Homepage1,200,OK,Thread Group 1-1,text,true,,4296,704,3,3,https://demo.opencart.com/,951,0,0
1605981289959,2627,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,8605,1402,3,3,null,2216,7,276
1605981291245,2099,Navigating_Account_Page,200,OK,Thread Group 1-2,text,true,,4046,1556,3,3,https://demo.opencart.com/index.php?route=account/login,1008,0,165
1605981291245,1008,Navigating_Account_Page-0,302,Found,Thread Group 1-2,text,true,,562,780,3,3,https://demo.opencart.com/index.php?route=account%2Faccount,1008,0,165
1605981292254,1090,Navigating_Account_Page-1,200,OK,Thread Group 1-2,text,true,,3484,776,3,3,https://demo.opencart.com/index.php?route=account/login,879,0,0
1605981291244,2099,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4046,1556,3,3,null,1008,3,165
1605981293347,1251,Logout_1,200,OK,Thread Group 1-2,text,true,,3375,779,3,3,https://demo.opencart.com/index.php?route=account%2Flogout,1043,0,172
